Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/2014;3776,374633;10666,20;40279567,10
Tesouro IGPM+ com Juros Semestrais;01/04/2021;02/2014;2638,874710;7234,00;19089619,65
Tesouro IPCA+ com Juros Semestrais;15/08/2024;02/2014;2324,701800;57480,89;133625928,42
Tesouro IPCA+ com Juros Semestrais;15/08/2050;02/2014;2733,072976;89273,73;243991618,90
Tesouro Prefixado;01/01/2017;02/2014;734,915535;945528,18;694883348,09
Tesouro IPCA+;15/05/2015;02/2014;2218,768302;871211,42;1933016282,99
Tesouro IPCA+;15/08/2024;02/2014;1341,657260;968266,37;1299081604,68
Tesouro IPCA+;15/05/2019;02/2014;1822,692885;342660,48;624564818,79
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/2014;2321,491085;68867,19;159874567,65
Tesouro IGPM+ com Juros Semestrais;01/07/2017;01/2014;2749,024547;7161,28;19686534,50
Tesouro IPCA+ com Juros Semestrais;15/05/2015;01/2014;2391,131260;285914,73;683659648,57
Tesouro IPCA+ com Juros Semestrais;15/05/2017;01/2014;2412,677398;76967,52;185697795,86
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/2014;3736,457932;10802,80;40364207,75
Tesouro IGPM+ com Juros Semestrais;01/04/2021;01/2014;2611,536152;7241,00;18910133,27
Tesouro Prefixado;01/10/2009;07/2007;798,805014;3837,00;3065014,83
Tesouro Selic;07/03/2012;07/2007;3170,934172;8575,40;27192028,90
Tesouro Prefixado com Juros Semestrais;01/01/2013;07/2007;977,060673;125,00;122132,58
Tesouro Prefixado com Juros Semestrais;01/01/2014;07/2007;897,107641;25445,60;22827442,19
Tesouro Prefixado com Juros Semestrais;01/01/2017;07/2007;953,734607;23356,60;22275997,72
Tesouro IPCA+ com Juros Semestrais;15/08/2012;07/2007;1661,949492;1374,40;2284183,38
Tesouro IPCA+ com Juros Semestrais;15/05/2035;07/2007;1454,946512;4580,40;6664237,00
Tesouro IPCA+ com Juros Semestrais;15/05/2045;06/2007;1264,750199;13617,80;17223115,25
Tesouro IGPM+ com Juros Semestrais;01/07/2017;06/2007;1663,931719;10595,80;17630687,70
